STATE_UT,CRIME HEAD,Category,Male_Below_18,Female_Below_18,Male_18_30,Female_18_30,Male_30_45,Female_30_45,Male_45_60,Female_45_60,Male_above_60,Female_above_60,Male_Total,Female_Total,Total_below_18,Total_18_30,Total_30_45,Total_45_60,Total_above_60,Grand_Total
ANDHRA PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,10,0,36,0,6,0,1,0,53,0,0,10,36,6,1,53
ARUNACHAL PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASSAM,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIHAR,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,2,0,2
CHHATTISGARH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUJARAT,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARYANA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIMACHAL PRADESH,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAMMU & KASHMIR,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JHARKHAND,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KARNATAKA,"ANTIQUITIES AND ART TREASURES ACT, 1972",Theft,0,0,5,0,3,0,2,0,0,0,10,0,0,5,3,2,0,10
